id;name;description;principal_name;principal_surname;lat;lon;country;postal_code;city;address;house;phone;fax;email;website;facebook;twitter;wikipedia;foundation_date;teaching_languages;ADEC;AERO;IDEN
7559925d-45cc-48f8-9337-2aca683f794a;Escuelas Vivas en Argentina;;;;;;;;;;;;;;;;;;;;;;
f1b3fadc-18c1-4ef1-94a8-2baae9307394;Noble High School;;;;;;United States;03906;North Berwick, ME;Somersworth Road;388;0012076762843;;;http://www.msad60.org/nhs;;;;;;;;
950860c4-17e1-4b39-932b-f2ddccab6af2;Questlife Learning;;;;;;;;;;;0061458278785;;;;;;;;;;;
15deaaea-1e88-4938-bdce-60e376be6a70;בית-הספר הדמוקרטי בבקעת אונו;;;;;;;;;;;;;;;;;;;;;;
00d81b51-e16e-4a8f-b79c-a26fbbd0c6a0;Sudbury Valley School;;;;;;United States;01701;Framingham, MA;Winch Street;2;0015088773030;;;http://www.sudburyvalley.org;https://www.facebook.com/SudburyValleySchool;https://twitter.com/SVS_School;;1968-01-01;;;;
08551b0d-bbce-48c4-89d7-d194a8bf0082;EnFamilia - Red Colombiana de Educación en Familia;;;;;;Colombia;;;;;;;;;;;;;;;1;
f06163dc-03a5-4441-bfde-fb6516c44deb;Trillium Charter School;;;;;;United States;97217;Portland, OR;North Interstate Avenue;5420;0015032853833;;;http://trilliumcharterschool.org;https://www.facebook.com/trilliumcharterschoolportlandoregon;https://twitter.com/TrilliumCharter;;2013-01-01;;;;
084689f1-aa6d-4a52-8aaa-7419bbad9b7a;Lumiar School;;;;;;Brazil;01333-030;Sao Paulo;"Rua Doutor Fausto Ferraz,
Bela Vista";64 e 74;00551132567092;;;http://www.lumiar.org.br;;;;2002-01-01;;;;
fa261c11-eeea-4dd3-a623-5f341610cb9d;Tokyo Shure Free School;;;;;;Japan;114-0022;Tokyo;"Kishimachi,
Kita";1 Chome-9-19;0081359933135;;;http://www.shure.or.jp/;;;;;;;;
76141dd5-c0a7-4c3a-be4a-a4c8e19176c4;של בית הספר הדמוקרטי לב השרון;;;;;;;;;;;;;;;;;;;;;;
1f25f8a6-36e8-4ca5-9aac-55a3013627b0;Ziniukas School;;;;;;Lithuania;09120;Vilnius;Žirmūnų gatvė;139A;00371852737261;;;www.ziniukas.lt;;;;2009-01-01;;;;
d6720af5-9264-4a44-9de0-d5e398ae89a8;Park School;;;;;;United Kingdom;TQ9 6EQ;Totnes, Devon;"Park Road,
Dartington Hall";;00441803864588;;;http://www.parkschoolonline.com;;;;1989-01-01;;;;
7a53cef5-211a-427a-a9ef-5cf7cb7655b9;Summerhill School;The oldest free democratic school in the world, open since 1921.;;;52.20648000;1.57643290;United Kingdom;IP16 4HY;Leiston, Suffolk;Westward Ho;Summerhill School;00441728830540;;;http://www.summerhillschool.co.uk;;;;1921-01-01;;;;
8b273410-76da-4e4c-a108-b270d336b4b6;Nyskolen;;;;;;Norway;0658;Oslo;Østerdalsgata;7A;004721899826;;;http://www.nyskolen.no;;;;;;;;
cf3e9028-d85c-49b2-8be5-db7caef10765;Colégio Nacional;;;;;;Brazil;21311-280;Rio de Janeiro;"Rua Clarimundo de Melo,
Quintino Bocaiúva";1195;005525968543;;;http://www.nacional.edu.br;;;;1978-01-01;;;;
fb58f80b-d9e0-44d5-b1f7-c002eade728c;Regent High School;;;;;;United Kingdom;NW1 1RX;London;"Chalton Street,
Kings Cross";Regent High School;01144 2073870126;;;http://www.regenthighschool.org.uk;;;;2011-01-01;;;;
8187ed61-93b1-4f44-a8e3-f389894cccc1;Freie Humanistische Schule;;;;;;Germany;26197;Großenkneten;"Am Forst,
Huntlosen";2;0049176 66848178;;;www.freie-humanistische-schule.de;;;;2005-01-01;;;;
0a60e412-29d3-4034-9567-6a312ffe36f1;Golden Grove School;;;;;;New Zealand;1061;Auckland City;"Grey Street,
Onehunga";57;006496364461;;;http://www.goldengrove.school.nz;;;;;;;;
